Year,Month,Min_x0020_Price
2003,Jan,1145.5
2003,Feb,1156.428571
2003,Mar,1260.833333
2003,Apr,1342.5
2003,May,1369
2003,Jun,1266.875
2003,Jul,1440
2003,Aug,1400.555556
2003,Sep,1477.692308
2003,Oct,1550
2003,Nov,1429.375
2003,Dec,1242.916667
2004,Jan,1149
2004,Feb,1740
2004,Mar,1283.333333
2004,Apr,1260
2004,May,1375
2004,Jun,1317.333333
2004,Jul,1384.375
2004,Aug,1367
2004,Sep,1379.230769
2004,Oct,1337.272727
2004,Nov,1337.5
2004,Dec,1422.352941
2005,Jan,1553.541667
2005,Feb,1494
2005,Mar,1284
2005,Apr,1209.444444
2005,May,1138.333333
2005,Jun,1063.333333
2005,Jul,1119.5
2005,Aug,1180.769231
2005,Sep,1441.689655
2005,Oct,1326.038462
2005,Nov,1345.574074
2005,Dec,1407.817073
2006,Jan,1502.636364
2006,Feb,1231.287356
2006,Mar,1071.013514
2006,Apr,1269.196429
2006,May,1098.488372
2006,Jun,641.2307692
2006,Jul,890.1666667
2006,Aug,745.4545455
2006,Sep,772.5675676
2006,Oct,737.1785714
2006,Nov,872.8928571
2006,Dec,804.8333333
2007,Jan,864.2307692
2007,Feb,722.1428571
2007,Mar,912.8846154
2007,Apr,1176
2007,May,844.2105263
2007,Jun,1194.1875
2007,Jul,931.9642857
2007,Aug,877.3809524
2007,Sep,986.3636364
2007,Oct,903.5849057
2007,Nov,924.0222222
2007,Dec,966.516129
2008,Jan,1066.595745
2008,Feb,1117.906977
2008,Mar,1257.45098
2008,Apr,1155.9
2008,May,1273.958333
2008,Jun,1417.105263
2008,Jul,1364.210526
2008,Aug,1348.617021
2008,Sep,1624.060606
2008,Oct,1369.868421
2008,Nov,1345.714286
2008,Dec,1239.210526
2009,Jan,1403.125
2009,Feb,1364.722222
2009,Mar,1507.5
2009,Apr,1159.130435
2009,May,1323.333333
2009,Jun,1756.666667
2009,Jul,1827.666667
2009,Aug,1614.285714
2009,Sep,1542.857143
2009,Oct,2236.85
2009,Nov,2267.488889
2009,Dec,2242.905405
2010,Jan,2207.645161
2010,Feb,1904
2010,Mar,2168.965517
2010,Apr,1681.206897
2010,May,1669.565217
2010,Jun,1593.333333
2010,Jul,1715.217391
2010,Aug,1590.333333
2010,Sep,1667.5
2010,Oct,2806.770833
2010,Nov,3036.69697
2010,Dec,2759.671429
2011,Jan,3287.228916
2011,Feb,3560.7
2011,Mar,2882.863636
2011,Apr,2702.44898
2011,May,2010.238095
2011,Jun,1955
2011,Jul,1871.333333
2011,Aug,1868.8
2011,Sep,2223.8125
2011,Oct,2838.846154
2011,Nov,3078.612903
2011,Dec,3043.571429
2012,Jan,2933.553571
2012,Feb,3003.796296
2012,Mar,2743.311111
2012,Apr,2880.135135
2012,May,2666.419753
2012,Jun,2526.269841
2012,Jul,2791.372549
2012,Aug,2705.2
2012,Sep,2573.75
2012,Oct,2935.571429
2012,Nov,3189.518519
2012,Dec,3470.247525
2013,Jan,3323.243902
2013,Feb,3262.6
2013,Mar,3822.1875
2013,Apr,3977.810811
2013,May,3476.388889
2013,Jun,2698.9
2013,Jul,2025
2013,Aug,2308.333333
2013,Sep,2101.125
2013,Oct,3246.708333
2013,Nov,4012.085106
2013,Dec,4031.219512
2014,Jan,4589.961538
2014,Feb,4366.923077
2014,Mar,4270.33871
2014,Apr,3670.372549
2014,May,3180.512821
2014,Jun,2680.583333
2014,Jul,1786.25
2014,Aug,2508.571429
2014,Sep,4122.366667
2014,Oct,3466.918919
2014,Nov,3541.136364
2014,Dec,3524.038462
2015,Jan,3283.226415
2015,Jan,3283.226415
2015,Feb,3343.181818
2015,Feb,3075.119048
2015,Mar,3368
2015,Apr,2307.133333
2015,May,2358.333333
2015,Jun,2345.444444
2015,Jul,4626.25
2015,Aug,2684.2
2015,Sep,3633.333333
2015,Oct,3614.657143
2015,Nov,4669
2015,Dec,3893.888889
